solvent,solute,temp_K,avg_MBAR_kcal_per_mol,std_dev_MBAR_kcal_per_mol
waterTIP4P,Ne,275,2.42976298613401,NA
waterTIP4P,Ne,295,2.63161758699057,NA
waterTIP4P,Ne,315,2.83413988832558,NA
waterTIP4P,Ne,335,3.03669014080752,NA
waterTIP4P,Ne,355,3.23907881118225,NA
waterTIP4P,Ne,375,3.44182000267889,NA
