solvent,solute,temp_K,avg_MBAR_kcal_per_mol,std_dev_MBAR_kcal_per_mol
waterTIP4P,Rn,275,0.444319679385921,NA
waterTIP4P,Rn,295,0.812297430660798,NA
waterTIP4P,Rn,315,1.18094288241413,NA
waterTIP4P,Rn,335,1.54961628531439,NA
waterTIP4P,Rn,355,1.91812810610745,NA
waterTIP4P,Rn,375,2.2869924480224,NA
